stop_id,stop_name,stop_lat,stop_lon
1,Capitol at 4th,47.044418,-122.901711
10,Capitol at Carlyon,47.020679,-122.897346
100,Crosby at Somerset Hill,47.020500,-122.926353
1003,24th at Pacific,47.240063,-122.434601
1006,4th at Wilson,47.045883,-122.872383
1007,Hawk's Prairie Park & Ride,47.068470,-122.761887
1008,College at Martin Way,47.047287,-122.823303
101,Barnes at Ridgeview,47.017628,-122.920486
1010,Tumwater Blvd and Cleanwater,46.981960,-122.907730
102,Barnes at Overlook Park,47.016403,-122.918152
103,Barnes at Vista,47.015278,-122.915154
104,S. 7th at I,47.008472,-122.913048
105,S. 2nd at I,47.007980,-122.908585
106,S. 2nd at C,47.013779,-122.906677
107,S. 2nd at Division,47.015377,-122.906654
108,Custer at Schmidt,47.016659,-122.902924
109,North at Masonic Cemetery,47.016563,-122.896492
11,Capitol at E,47.011021,-122.905289
110,North at Lorne,47.016575,-122.893410
111,North at Pear,47.016541,-122.889053
112,Olympia High School,47.016529,-122.884804
113,North at Central,47.016518,-122.882339
114,Henderson at North,47.016220,-122.879333
115,Henderson at Middle,47.012791,-122.879356
116,Henderson at Briggs,47.007656,-122.881081
117,Henderson at Yelm Hwy,47.005028,-122.881081
118,Yelm Hwy at Village,47.003471,-122.875427
119,Yelm Hwy at Juli,47.004616,-122.868820
12,Capitol at Linwood,47.007477,-122.907310
120,Yelm Hwy at Boulevard,47.003609,-122.865074
121,Yelm Hwy at Donovan,47.001266,-122.859047
122,Yelm Hwy at Rich,47.000786,-122.855568
123,Yelm Hwy at Chambers Creek,47.000309,-122.852005
124,Yelm Hwy at Wiggins,46.998089,-122.845062
125,Yelm Hwy at Donnelly,46.997005,-122.841431
126,Yelm Hwy at Troon,46.996204,-122.836433
127,Yelm Hwy at Chardonnay,46.996189,-122.833473
129,Yelm Hwy at Sarazan,46.996155,-122.818962
13,Linwood at S. 6th,47.007339,-122.912041
130,Yelm Hwy at Sarazan,46.996342,-122.819496
131,Yelm Hwy at Corporate Center,46.996380,-122.829399
132,Yelm Hiwy at Chardonnay,46.996380,-122.833481
133,Yelm Hwy at Normandy,46.996483,-122.838486
134,Yelm Hwy at Donovan,46.997395,-122.842117
135,Yelm Hwy at Wiggins,46.998268,-122.844978
136,Yelm Hwy at Chambers Creek,47.000530,-122.852295
137,Yelm Hwy at Rich,47.001022,-122.855911
138,Yelm Hwy at Donnelly,47.001564,-122.859985
139,Yelm Hwy at Boulevard,47.004494,-122.866524
14,Linwood at Liberty,47.007389,-122.921600
140,Yelm Hwy at Juli,47.004795,-122.869469
141,Yelm Hwy at Village,47.003651,-122.875938
142,Henderson at Yelm Hwy,47.005051,-122.880798
143,Henderson at Briggs,47.007668,-122.880814
144,Henderson at Middle,47.013264,-122.879166
145,North at Central,47.016613,-122.882462
146,Olympia High School,47.016624,-122.884239
147,North at Hawthorne,47.016632,-122.887001
148,North at Hoadly,47.016720,-122.890556
149,North at Lorne,47.016647,-122.893089
15,Linwood at Rural,47.007416,-122.925858
150,North at Masonic Cemetery,47.016663,-122.896500
151,Friendly Grove at 26th,47.068542,-122.871323
152,26th at Bethel,47.068886,-122.883583
153,Bethel at Brandon,47.067284,-122.884697
154,Bethel at Devon,47.065765,-122.884705
155,Bethel at Miller,47.061703,-122.884796
156,Bethel at Ethridge,47.059883,-122.884811
157,Bethel at San Francisco,47.057686,-122.884888
158,Puget at San Francisco,47.056915,-122.887482
159,Puget at Leavenworth,47.055328,-122.887512
16,Rural at 48th,47.004730,-122.926788
160,Puget at Pine,47.053467,-122.887505
161,Puget at Yew,47.051430,-122.887688
162,Puget at Bigelow,47.049782,-122.887695
163,Puget at Thurston,47.048470,-122.887558
164,State at Eastside,47.046638,-122.889458
165,State at East Bay,47.046360,-122.893753
166,State at Jefferson,47.046181,-122.896439
167,Olympia Transit Center,47.046299,-122.900032
168,4th at Adams,47.045139,-122.897659
169,4th at Pear,47.045513,-122.891594
17,Rural at Trosper,47.000557,-122.926826
170,Puget at Thurston,47.048683,-122.887421
171,Puget at Bigelow,47.050018,-122.887512
172,Bigelow at Garrison,47.050098,-122.884239
173,Bigelow at Central,47.050087,-122.881493
174,Fir at Bigelow,47.050385,-122.877304
175,Pine at McCormick,47.053627,-122.878372
176,Pine at Lybarger,47.053638,-122.880600
177,Central at Pine,47.053802,-122.882401
178,Central at Massey,47.058357,-122.882439
179,Central at Ethridge,47.060753,-122.882362
18,Trosper at Western Plaza MHP,46.999836,-122.925148
180,Miller at McCormick,47.061958,-122.877533
181,Miller at Ann,47.061943,-122.872742
182,Friendly Grove at Miller,47.064648,-122.871384
183,Lacey Transit Center,47.042660,-122.829559
184,6th at Sleater Kinney,47.043373,-122.831932
185,Sleater Kinney at S. Sound Center,47.042660,-122.833946
186,Sleater Kinney at Pacific,47.040241,-122.833839
187,Sleater Kinney at 12th,47.037552,-122.833870
188,Sleater Kinney at 14th [sb-near side],47.034832,-122.833862
189,14th at Capitol Club Apts,47.034306,-122.837654
19,Trosper at Lake Park,46.999870,-122.918144
190,14th at Colonial Estates MHP,47.034328,-122.841873
191,18th at Fones,47.032581,-122.848152
192,18th at Craig,47.032612,-122.855186
193,18th at Kempton,47.032639,-122.853119
194,18th at Allen,47.032604,-122.857399
195,18th at Amhurst,47.032639,-122.859169
196,18th at Karen Frazier,47.032585,-122.862526
197,Boulevard at 18th,47.033062,-122.866539
198,Boulevard at 15th,47.036476,-122.868622
199,Boulevard at 12th,47.039108,-122.868988
2,Capitol at Legion,47.042889,-122.901489
20,Trosper at Olympics West,46.999912,-122.921021
200,Boulevard at Union,47.041031,-122.868973
201,9th at Sawyer,47.041775,-122.870995
202,Frederick at Union,47.040428,-122.871742
203,Union at Fairview,47.039936,-122.874344
204,Union at Lybarger,47.040146,-122.880066
205,10th at Central,47.041019,-122.882431
206,10th at St. Michaels,47.040871,-122.886391
207,Eastside at 9th,47.041813,-122.887863
208,8th at Pear,47.042236,-122.891243
209,8th at Chestnut,47.042046,-122.894142
21,Littlerock at Trosper,46.998329,-122.917000
210,8th at Adams,47.041809,-122.897789
211,Franklin at Legion,47.043613,-122.898926
212,Franklin at Legion,47.043194,-122.899017
213,8th at Franklin,47.041618,-122.898262
214,8th at Chestnut,47.041927,-122.893776
215,8th at Pear,47.042141,-122.891052
216,Eastside at 8th,47.041866,-122.888039
217,10th at St. Michaels,47.040836,-122.885902
218,10th at Central,47.040951,-122.882553
219,Union at Lybarger,47.040070,-122.879982
22,Littlerock at Twin County Plaza,46.996742,-122.919014
220,Union at Fairview,47.039856,-122.873825
221,Frederick at Union,47.040565,-122.871628
222,9th at Frederick,47.041637,-122.871124
223,Boulevard at Union,47.040741,-122.869156
224,Boulevard at 12th,47.038673,-122.869148
225,Boulevard at 15th,47.036415,-122.868820
226,Boulevard at 18th,47.033218,-122.867249
227,18th at Karen Frazier,47.032673,-122.862480
