route_id,trip_id,service_id,trip_headsign,block_id,shape_id
2,1,1,Outbound,6601,33
2,10,1,Outbound,6605,33
8,100,1,Outbound,4405,9
13,1000,1,Inbound,4401,63
13,1001,1,Inbound,4403,63
13,1002,2,Inbound,4404,22
13,1003,2,Inbound,4401,22
13,1004,2,Inbound,4403,22
8,101,1,Outbound,4406,9
13,1012,2,Inbound,6201,22
13,1013,2,Inbound,6203,22
13,1014,2,Inbound,4404,22
14,1015,1,Outbound,6604,55
14,1016,1,Outbound,4407,55
14,1017,1,Outbound,6201,55
14,1018,1,Outbound,6202,55
14,1019,1,Outbound,6203,55
8,102,1,Outbound,4407,9
14,1020,1,Outbound,6204,55
14,1021,1,Outbound,4401,55
14,1022,1,Outbound,4402,55
14,1023,1,Outbound,4403,55
14,1024,1,Outbound,4404,55
14,1025,1,Outbound,4405,55
14,1026,1,Outbound,4406,55
14,1027,1,Outbound,4407,55
14,1028,1,Outbound,6201,55
14,1029,1,Outbound,6202,55
8,103,1,Outbound,6201,9
14,1030,1,Outbound,6203,55
14,1031,1,Inbound,4401,70
14,1032,1,Inbound,4403,70
14,1033,1,Inbound,4405,70
14,1034,1,Inbound,4401,70
14,1035,1,Inbound,4402,70
14,1036,1,Inbound,4406,70
14,1037,1,Inbound,6204,70
14,1038,1,Inbound,4402,70
14,1039,1,Inbound,4404,70
8,104,1,Outbound,6202,9
14,1040,1,Inbound,4407,70
14,1041,1,Inbound,6201,70
14,1042,2,Outbound,6403,49
14,1043,2,Inbound,4405,75
14,1044,2,Inbound,4402,75
14,1045,2,Inbound,4404,75
8,105,1,Outbound,6203,9
14,1052,2,Inbound,4404,75
14,1053,2,Inbound,6202,75
14,1054,2,Inbound,6204,75
14,1055,2,Inbound,6001,75
14,1056,3,Outbound,4403,49
14,1057,3,Inbound,4404,75
14,1058,3,Inbound,4401,75
14,1059,3,Inbound,4402,75
8,106,1,Outbound,6204,9
14,1060,3,Inbound,4403,75
14,1061,3,Inbound,4404,75
14,1062,3,Inbound,4401,75
14,1063,3,Inbound,4402,75
14,1064,3,Inbound,4403,75
14,1065,3,Inbound,4404,75
14,1066,3,Inbound,4401,75
14,1067,3,Inbound,4402,75
14,1068,3,Inbound,4403,75
15,1069,1,Outbound,6401,54
8,107,1,Outbound,4401,9
15,1070,1,Outbound,6402,54
15,1071,1,Outbound,6401,54
15,1072,1,Outbound,6402,54
15,1073,1,Outbound,6401,54
15,1074,1,Outbound,6402,54
15,1075,1,Outbound,6401,54
15,1076,1,Outbound,6402,54
15,1077,1,Outbound,6401,54
15,1078,1,Outbound,6402,54
15,1079,1,Outbound,6401,54
8,108,1,Outbound,4402,9
15,1080,1,Outbound,6402,54
15,1081,1,Outbound,6401,54
15,1082,1,Outbound,6402,59
15,1083,1,Outbound,6421,59
15,1084,1,Outbound,6411,54
15,1085,1,Outbound,6412,54
15,1086,1,Outbound,6422,54
15,1087,1,Outbound,6421,54
15,1088,1,Outbound,6422,54
15,1089,2,Outbound,6402,54
8,109,1,Outbound,4403,9
15,1090,2,Outbound,6403,54
15,1091,2,Outbound,6401,54
15,1092,2,Outbound,6402,54
15,1093,2,Outbound,6403,54
15,1094,2,Outbound,6401,54
15,1095,2,Outbound,6402,54
15,1096,2,Outbound,6403,54
15,1097,2,Outbound,6401,54
15,1098,2,Outbound,6402,54
15,1099,2,Outbound,6403,54
2,11,1,Outbound,6601,33
8,110,1,Outbound,4404,9
15,1100,2,Outbound,6401,54
16,1101,1,Inbound,6602,19
16,1102,1,Inbound,6603,19
16,1103,1,Inbound,6604,19
16,1104,1,Inbound,6605,19
16,1105,1,Inbound,6601,19
16,1106,1,Inbound,6602,19
16,1107,1,Inbound,6603,19
16,1108,1,Inbound,6604,19
16,1109,1,Inbound,6605,19
8,111,1,Outbound,4405,9
16,1110,1,Inbound,6601,19
16,1111,1,Inbound,6602,19
16,1112,1,Inbound,6603,19
16,1113,1,Inbound,6604,19
16,1114,1,Inbound,6605,19
16,1115,1,Inbound,6601,19
16,1116,1,Inbound,6602,19
16,1117,1,Inbound,6603,19
16,1118,1,Inbound,6604,19
16,1119,1,Inbound,6605,19
8,112,1,Outbound,4406,9
16,1120,1,Inbound,6601,19
16,1121,1,Inbound,6602,19
16,1122,1,Inbound,6603,19
16,1123,1,Inbound,6604,19
16,1124,1,Inbound,6605,19
16,1125,1,Inbound,6601,19
16,1126,1,Inbound,6602,19
16,1127,1,Inbound,6603,19
16,1128,1,Inbound,6604,19
16,1129,1,Inbound,6605,19
8,113,1,Outbound,4407,9
16,1130,1,Inbound,6601,19
16,1131,1,Inbound,6602,6
16,1132,1,Inbound,6601,6
16,1133,1,Inbound,6601,62
16,1134,2,Inbound,6601,19
16,1135,2,Inbound,6602,19
16,1136,2,Inbound,6603,19
16,1137,2,Inbound,6604,19
16,1138,2,Inbound,6605,19
16,1139,2,Inbound,6601,19
8,114,1,Outbound,6201,9
16,1140,2,Inbound,6602,19
16,1141,2,Inbound,6603,19
16,1142,2,Inbound,6604,19
16,1143,2,Inbound,6605,19
16,1144,2,Inbound,6601,19
16,1145,2,Inbound,6602,19
16,1146,2,Inbound,6603,19
16,1147,2,Inbound,6604,19
16,1148,2,Inbound,6605,19
16,1149,2,Inbound,6601,19
8,115,1,Outbound,6202,9
16,1150,2,Inbound,6602,19
16,1151,2,Inbound,6603,19
16,1152,2,Inbound,6604,19
16,1153,2,Inbound,6605,19
16,1154,2,Inbound,6601,19
16,1155,2,Inbound,6602,19
16,1156,2,Inbound,6603,19
16,1157,2,Inbound,6604,19
16,1158,2,Inbound,6605,19
16,1159,2,Inbound,6601,6
8,116,1,Outbound,6203,9
16,1160,2,Inbound,6603,6
16,1161,2,Inbound,6603,62
16,1162,3,Outbound,6604,15
16,1163,3,Outbound,6601,15
16,1164,3,Inbound,6601,19
16,1165,3,Inbound,6602,19
16,1166,3,Inbound,6603,19
16,1167,3,Inbound,6604,19
16,1168,3,Inbound,6601,19
16,1169,3,Inbound,6602,19
8,117,1,Outbound,6204,9
16,1170,3,Inbound,6603,19
16,1171,3,Inbound,6604,19
16,1172,3,Inbound,6601,19
16,1173,3,Inbound,6602,19
16,1174,3,Inbound,6603,19
16,1175,3,Inbound,6604,19
16,1176,3,Inbound,6601,19
16,1177,3,Inbound,6602,19
16,1178,3,Inbound,6603,19
16,1179,3,Inbound,6604,19
8,118,1,Outbound,4401,9
16,1180,3,Inbound,6601,19
16,1181,3,Inbound,6602,19
16,1182,3,Inbound,6603,19
16,1183,3,Inbound,6604,19
16,1184,3,Inbound,6601,19
16,1185,3,Inbound,6602,19
16,1186,3,Inbound,6603,19
16,1187,3,Inbound,6604,19
18,1188,1,Outbound,6802,16
18,1189,1,Outbound,6803,16
8,119,1,Outbound,4402,9
18,1190,1,Outbound,6801,16
18,1191,1,Outbound,6802,16
18,1192,1,Outbound,6803,16
18,1193,1,Outbound,6801,16
18,1194,1,Outbound,6802,16
18,1195,1,Outbound,6803,16
18,1196,1,Outbound,6801,16
18,1197,1,Outbound,6802,16
18,1198,1,Outbound,6803,16
18,1199,1,Outbound,6801,16
2,12,1,Outbound,6602,33
8,120,1,Outbound,4403,9
18,1200,1,Outbound,6802,16
18,1201,1,Outbound,6804,16
18,1202,1,Outbound,6811,16
18,1203,1,Outbound,6821,16
18,1204,1,Outbound,6804,16
18,1205,1,Outbound,6822,16
18,1206,1,Outbound,6801,74
18,1207,1,Outbound,6812,74
18,1208,1,Inbound,6801,28
18,1209,1,Inbound,6802,28
8,121,1,Outbound,4404,9
18,1210,1,Inbound,6803,28
18,1211,1,Inbound,6801,28
18,1212,1,Inbound,6802,28
18,1213,1,Inbound,6803,28
18,1214,1,Inbound,6801,28
18,1215,1,Inbound,6802,28
18,1216,1,Inbound,6803,28
18,1217,1,Inbound,6801,28
18,1218,1,Inbound,6802,28
18,1219,1,Inbound,6803,28
8,122,1,Outbound,6204,9
18,1220,1,Inbound,6801,28
18,1221,1,Inbound,6811,28
18,1222,1,Inbound,6812,28
18,1223,1,Inbound,6822,28
18,1224,1,Inbound,6821,28
18,1225,1,Inbound,6804,28
18,1226,1,Inbound,6803,64
18,1227,1,Inbound,6821,64
18,1228,2,Outbound,6801,16
18,1229,2,Outbound,6802,16
8,123,1,Outbound,4401,9
18,1230,2,Outbound,6801,16
18,1231,2,Outbound,6802,16
18,1232,2,Outbound,6801,16
18,1233,2,Outbound,6802,16
18,1234,2,Outbound,6801,16
18,1235,2,Outbound,6802,16
18,1236,2,Outbound,6801,16
18,1237,2,Outbound,6802,16
18,1238,2,Outbound,6801,16
18,1239,2,Inbound,6802,28
8,124,1,Outbound,4403,9
18,1240,2,Inbound,6801,28
18,1241,2,Inbound,6802,28
18,1242,2,Inbound,6801,28
18,1243,2,Inbound,6802,28
18,1244,2,Inbound,6801,28
18,1245,2,Inbound,6802,28
18,1246,2,Inbound,6801,28
18,1247,2,Inbound,6802,28
18,1248,2,Inbound,6801,28
18,1249,2,Inbound,6802,28
8,125,1,Inbound,4403,34
23,1250,3,Inbound,9901,27
35,1251,2,Outbound,1012,20
35,1252,2,Outbound,1011,20
35,1253,2,Outbound,1012,20
35,1254,2,Outbound,1011,20
35,1255,2,Outbound,1012,20
35,1256,2,Outbound,1011,20
35,1257,2,Outbound,1012,20
35,1258,2,Outbound,1011,20
35,1259,2,Outbound,1012,20
8,126,1,Inbound,4404,34
35,1260,2,Outbound,1011,20
35,1261,2,Outbound,1012,20
35,1262,2,Outbound,1011,20
35,1263,2,Outbound,1012,20
35,1264,2,Outbound,1011,20
35,1265,2,Outbound,1012,20
35,1266,2,Outbound,1011,20
35,1267,2,Outbound,1012,20
35,1268,2,Outbound,1011,20
35,1269,2,Outbound,1012,20
8,127,1,Inbound,4405,34
35,1270,2,Outbound,1011,20
35,1271,2,Outbound,1012,20
35,1272,2,Outbound,1011,20
35,1273,2,Outbound,1012,20
35,1274,2,Outbound,1011,20
35,1275,2,Outbound,1012,20
35,1276,2,Outbound,1011,20
35,1277,2,Outbound,1012,20
35,1278,2,Outbound,1011,20
35,1279,2,Outbound,1012,20
8,128,1,Inbound,4401,34
35,1280,2,Outbound,1011,20
35,1281,2,Outbound,1012,20
35,1282,2,Outbound,1011,20
35,1283,2,Outbound,1012,20
35,1284,2,Outbound,1011,20
35,1285,2,Outbound,1012,20
35,1286,2,Outbound,1011,20
35,1287,2,Outbound,1012,20
35,1288,2,Outbound,1011,20
35,1289,2,Outbound,1012,20
8,129,1,Inbound,4402,34
35,1290,2,Outbound,1011,20
35,1291,2,Outbound,1012,20
35,1292,2,Outbound,1011,20
35,1293,2,Outbound,1012,20
35,1294,2,Outbound,1011,20
35,1295,2,Outbound,1012,20
35,1296,2,Outbound,1011,20
35,1297,2,Outbound,1012,20
35,1298,2,Outbound,1011,20
35,1299,2,Inbound,1011,77
2,13,1,Outbound,6603,33
8,130,1,Inbound,4403,34
35,1300,2,Inbound,1012,77
35,1301,2,Inbound,1011,77
35,1302,2,Inbound,1012,77
35,1303,2,Inbound,1011,77
35,1304,2,Inbound,1012,77
35,1305,2,Inbound,1011,77
35,1306,2,Inbound,1012,77
35,1307,2,Inbound,1011,77
35,1308,2,Inbound,1012,77
35,1309,2,Inbound,1011,77
8,131,1,Inbound,4404,34
35,1310,2,Inbound,1012,77
35,1311,2,Inbound,1011,77
35,1312,2,Inbound,1012,77
35,1313,2,Inbound,1011,77
35,1314,2,Inbound,1012,77
35,1315,2,Inbound,1011,77
35,1316,2,Inbound,1012,77
35,1317,2,Inbound,1011,77
35,1318,2,Inbound,1012,77
35,1319,2,Inbound,1011,77
8,132,1,Inbound,4405,34
35,1320,2,Inbound,1012,77
35,1321,2,Inbound,1011,77
35,1322,2,Inbound,1012,77
35,1323,2,Inbound,1011,77
35,1324,2,Inbound,1012,77
35,1325,2,Inbound,1011,77
35,1326,2,Inbound,1012,77
35,1327,2,Inbound,1011,77
35,1328,2,Inbound,1012,77
35,1329,2,Inbound,1011,77
8,133,1,Inbound,4406,34
35,1330,2,Inbound,1012,77
35,1331,2,Inbound,1011,77
35,1332,2,Inbound,1012,77
35,1333,2,Inbound,1011,77
35,1334,2,Inbound,1012,77
35,1335,2,Inbound,1011,77
35,1336,2,Inbound,1012,77
35,1337,2,Inbound,1011,77
35,1338,2,Inbound,1012,77
35,1339,2,Inbound,1011,77
8,134,1,Inbound,4407,34
35,1340,2,Inbound,1012,77
35,1341,2,Inbound,1011,77
35,1342,2,Inbound,1012,77
35,1343,2,Inbound,1011,77
35,1344,2,Inbound,1012,77
35,1345,2,Inbound,1011,77
35,1346,2,Inbound,1012,77
8,135,1,Inbound,6201,34
23,1356,2,Inbound,9902,27
23,1357,2,Inbound,9902,27
23,1358,2,Inbound,9902,27
23,1359,2,Inbound,9902,27
8,136,1,Inbound,6202,34
37,1360,1,Outbound,9902,86
37,1361,1,Outbound,9912,86
37,1362,1,Outbound,9913,39
37,1363,1,Outbound,9901,39
37,1364,1,Outbound,9902,39
37,1365,1,Outbound,9901,39
37,1366,1,Outbound,9902,39
21,1367,1,Outbound,9901,30
21,1368,1,Outbound,9902,30
21,1369,1,Outbound,9901,30
8,137,1,Inbound,6203,34
21,1370,1,Outbound,9921,30
21,1371,1,Outbound,9922,30
21,1372,1,Outbound,9902,30
21,1373,1,Outbound,9923,30
21,1374,1,Outbound,9921,30
38,1375,1,Outbound,9924,31
21,1376,1,Inbound,9902,32
21,1377,1,Inbound,9912,32
21,1378,1,Inbound,9913,32
21,1379,1,Inbound,9901,32
8,138,1,Inbound,6204,34
21,1380,1,Inbound,9902,32
21,1381,1,Inbound,9901,32
21,1382,1,Inbound,9902,32
37,1383,1,Inbound,9901,36
37,1384,1,Inbound,9902,36
37,1385,1,Inbound,9901,36
37,1386,1,Inbound,9921,36
37,1387,1,Inbound,9922,36
37,1388,1,Inbound,9921,36
37,1389,1,Inbound,9902,51
8,139,1,Inbound,4401,34
37,1390,1,Inbound,9923,51
38,1391,1,Inbound,9914,50
1,1392,1,Outbound,1202,35
1,1393,1,Outbound,1201,35
1,1394,1,Outbound,1202,35
1,1395,1,Outbound,1201,35
1,1396,1,Outbound,1202,35
1,1397,1,Outbound,1201,35
1,1398,1,Outbound,1202,35
1,1399,1,Outbound,1201,35
2,14,1,Outbound,6604,33
8,140,1,Inbound,4402,34
1,1400,1,Outbound,1202,35
1,1401,1,Outbound,1201,35
1,1402,1,Outbound,1202,35
1,1403,1,Outbound,1201,35
1,1404,1,Outbound,1211,35
1,1405,1,Outbound,1212,35
1,1406,1,Outbound,1211,35
1,1407,1,Outbound,1221,35
1,1408,1,Outbound,1222,35
1,1409,1,Outbound,1221,35
8,141,1,Inbound,4403,34
1,1410,1,Outbound,1202,35
1,1411,1,Outbound,1201,35
1,1412,1,Inbound,1212,73
1,1413,1,Inbound,1201,73
1,1414,1,Inbound,1211,73
1,1415,1,Inbound,1202,73
1,1416,1,Inbound,1212,73
1,1417,1,Inbound,1201,73
1,1418,1,Inbound,1211,73
1,1419,1,Inbound,1202,73
8,142,1,Inbound,4404,34
1,1420,1,Inbound,1201,73
1,1421,1,Inbound,1202,73
1,1422,1,Inbound,1201,73
1,1423,1,Inbound,1202,73
1,1424,1,Inbound,1201,73
1,1425,1,Inbound,1202,73
1,1426,1,Inbound,1221,73
1,1427,1,Inbound,1201,73
1,1428,1,Inbound,1222,73
1,1429,1,Inbound,1202,73
8,143,1,Inbound,4405,34
1,1430,1,Inbound,1221,73
1,1431,1,Inbound,1201,73
1,1432,1,Inbound,1202,85
1,1433,1,Inbound,6604,85
1,1434,1,Inbound,6604,85
1,1435,1,Inbound,6604,85
1,1436,2,Inbound,1201,52
1,1437,2,Inbound,1202,52
1,1438,2,Inbound,1201,52
1,1439,2,Inbound,1202,52
8,144,1,Inbound,4406,34
1,1440,2,Inbound,1201,52
1,1441,2,Inbound,1202,52
1,1442,2,Inbound,1201,52
1,1443,2,Inbound,1202,52
1,1444,2,Inbound,1201,52
1,1445,2,Inbound,1202,52
1,1446,2,Inbound,1201,52
1,1447,2,Inbound,1202,52
1,1448,2,Inbound,6403,52
1,1449,2,Inbound,6403,52
8,145,1,Inbound,4407,34
1,1450,2,Inbound,6403,52
1,1451,3,Inbound,1201,52
1,1452,3,Inbound,1201,52
1,1453,3,Inbound,1201,52
1,1454,3,Inbound,1201,52
1,1455,3,Inbound,1201,52
1,1456,3,Inbound,1201,52
1,1457,3,Inbound,1201,52
1,1458,3,Inbound,1201,52
1,1459,3,Inbound,1201,52
8,146,1,Inbound,6201,34
1,1460,3,Inbound,1201,52
1,1461,3,Inbound,1201,52
1,1462,3,Inbound,1201,52
2,1463,1,Outbound,4101,33
2,1464,1,Outbound,4102,33
2,1465,1,Outbound,4103,33
2,1466,1,Outbound,4104,33
2,1467,1,Outbound,4101,33
2,1468,1,Outbound,4102,33
2,1469,1,Outbound,4103,33
8,147,1,Inbound,6202,34
2,1470,1,Outbound,4104,33
2,1471,1,Outbound,4101,33
2,1472,1,Outbound,4102,33
2,1473,1,Outbound,4103,33
2,1474,1,Outbound,4104,33
2,1475,1,Outbound,4101,33
2,1476,1,Outbound,4102,33
2,1477,1,Outbound,4103,33
2,1478,1,Outbound,4104,33
2,1479,1,Outbound,4101,33
8,148,1,Inbound,6203,34
2,1480,1,Outbound,4102,33
2,1481,1,Outbound,4103,33
2,1482,1,Outbound,4104,33
2,1483,1,Outbound,4101,33
