service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
10155,1,1,1,1,1,0,0,20160304,20160318
10403,0,0,0,0,0,0,1,20160327,20160612
10660,0,0,0,0,0,1,0,20160326,20160611
11383,0,1,0,1,1,0,0,20160304,20160325
11492,1,1,0,1,0,0,0,20160304,20160325
11636,0,0,0,0,0,0,1,20160306,20160612
12535,0,0,0,0,0,0,1,20160306,20160612
12904,0,0,0,0,0,0,0,20160309,20160608
12922,0,0,0,0,0,0,0,20160309,20160615
13212,0,0,0,0,0,0,0,20160304,20160617
13230,0,1,1,1,1,0,0,20160304,20160325
13339,1,1,1,1,0,0,0,20160304,20160325
13383,1,1,0,1,1,0,0,20160304,20160325
13938,0,0,0,0,0,0,0,20160309,20160615
14115,1,1,1,1,1,0,0,20160304,20160325
14137,0,0,0,0,1,0,0,20160401,20160617
1415,0,0,0,0,0,1,0,20160319,20160319
15085,0,0,0,0,0,1,0,20160305,20160611
1685,0,0,0,0,0,0,1,20160306,20160313
18,0,0,1,0,0,0,0,20160615,20160615
18593,0,0,0,0,1,0,0,20160304,20160617
2132,0,0,0,0,0,0,1,20160306,20160320
23796,0,0,0,0,0,0,0,20160307,20160617
3010,0,0,0,0,0,1,0,20160305,20160312
3960,1,1,1,1,1,0,0,20160321,20160325
4425,0,0,0,0,0,1,0,20160305,20160319
4456,0,0,0,0,1,0,0,20160304,20160325
447,0,0,0,0,0,0,1,20160320,20160320
46158,0,0,0,0,0,0,0,20160328,20160617
50530,0,1,0,1,1,0,0,20160328,20160614
51272,1,1,1,1,0,0,0,20160328,20160616
57233,0,0,0,0,0,0,0,20160328,20160617
57439,0,0,0,0,0,0,0,20160328,20160615
59533,0,0,0,0,0,0,0,20160328,20160617
61453,0,1,1,1,1,0,0,20160328,20160610
64510,0,1,1,1,1,0,0,20160328,20160617
65409,1,1,1,1,1,0,0,20160328,20160617
71608,0,0,0,0,0,0,0,20160304,20160610
78625,0,1,1,1,1,0,0,20160304,20160617
79524,1,1,1,1,1,0,0,20160304,20160617
9504,0,0,0,0,0,0,1,20160327,20160612
9659,1,1,1,1,0,0,0,20160307,20160324
