service_id,date,exception_type
10403,20160328,2
10403,20160404,2
10403,20160411,2
10403,20160418,2
10403,20160425,2
10403,20160502,2
10403,20160509,2
10403,20160516,2
10403,20160523,2
10403,20160530,1
10403,20160606,2
11383,20160307,1
11383,20160314,2
11383,20160321,1
11492,20160304,1
11492,20160311,2
11492,20160318,1
11492,20160325,1
12535,20160307,2
12535,20160314,2
12535,20160321,2
12535,20160328,2
12535,20160404,2
12535,20160411,2
12535,20160418,2
12535,20160425,2
12535,20160502,2
12535,20160509,2
12535,20160516,2
12535,20160523,2
12535,20160530,1
12535,20160606,2
12904,20160309,1
12904,20160316,1
12904,20160323,1
12904,20160330,1
12904,20160406,2
12904,20160413,1
12904,20160420,1
12904,20160427,1
12904,20160504,1
12904,20160511,1
12904,20160518,1
12904,20160525,1
12904,20160601,1
12904,20160608,1
12922,20160309,1
12922,20160316,1
12922,20160323,1
12922,20160330,1
12922,20160406,2
12922,20160413,1
12922,20160420,1
12922,20160427,1
12922,20160504,1
12922,20160511,1
12922,20160518,1
12922,20160525,1
12922,20160601,1
12922,20160608,1
12922,20160615,1
13212,20160304,1
13212,20160307,1
13212,20160308,1
13212,20160309,1
13212,20160310,1
13212,20160311,1
13212,20160314,1
13212,20160315,1
13212,20160316,1
13212,20160317,1
13212,20160318,1
13212,20160321,2
13212,20160322,2
13212,20160323,2
13212,20160324,2
13212,20160325,2
13212,20160328,2
13212,20160329,2
13212,20160330,2
13212,20160331,2
13212,20160401,2
13212,20160404,2
13212,20160405,2
13212,20160406,2
13212,20160407,2
13212,20160408,2
13212,20160411,2
13212,20160412,2
13212,20160413,2
13212,20160414,2
13212,20160415,2
13212,20160418,2
13212,20160419,2
13212,20160420,2
13212,20160421,2
13212,20160422,2
13212,20160425,2
13212,20160426,2
13212,20160427,2
13212,20160428,2
13212,20160429,2
13212,20160502,2
13212,20160503,2
13212,20160504,2
13212,20160505,2
13212,20160506,2
13212,20160509,2
13212,20160510,2
13212,20160511,2
13212,20160512,2
13212,20160513,2
13212,20160516,2
13212,20160517,2
13212,20160518,2
13212,20160519,2
13212,20160520,2
13212,20160523,2
13212,20160524,2
13212,20160525,2
13212,20160526,2
13212,20160527,2
13212,20160530,2
13212,20160531,2
13212,20160601,2
13212,20160602,2
13212,20160603,2
13212,20160606,2
13212,20160607,2
13212,20160608,2
13212,20160609,2
13212,20160610,2
13212,20160613,1
13212,20160614,1
13212,20160615,1
13212,20160616,1
13212,20160617,1
13230,20160307,1
13230,20160314,2
13230,20160321,1
13339,20160304,1
13339,20160311,2
13339,20160318,1
13339,20160325,1
13383,20160309,1
13383,20160316,1
13383,20160323,2
13938,20160309,1
13938,20160316,1
13938,20160323,1
13938,20160330,1
13938,20160406,1
13938,20160413,2
13938,20160420,1
13938,20160427,1
13938,20160504,1
13938,20160511,1
13938,20160518,1
13938,20160525,1
13938,20160601,1
13938,20160608,1
13938,20160615,1
23796,20160307,1
23796,20160308,1
23796,20160309,1
23796,20160310,1
23796,20160311,2
23796,20160314,1
23796,20160315,1
23796,20160316,1
23796,20160317,1
23796,20160318,2
23796,20160321,1
23796,20160322,1
23796,20160323,1
23796,20160324,1
23796,20160325,2
23796,20160328,2
23796,20160329,2
23796,20160330,2
23796,20160331,2
23796,20160401,1
23796,20160404,2
23796,20160405,2
23796,20160406,2
23796,20160407,2
23796,20160408,1
23796,20160411,2
23796,20160412,2
23796,20160413,2
23796,20160414,2
23796,20160415,1
23796,20160418,2
23796,20160419,2
23796,20160420,2
23796,20160421,2
23796,20160422,1
23796,20160425,2
23796,20160426,2
23796,20160427,2
23796,20160428,2
23796,20160429,1
23796,20160502,2
23796,20160503,2
23796,20160504,2
23796,20160505,2
23796,20160506,1
23796,20160509,2
23796,20160510,2
23796,20160511,2
23796,20160512,2
23796,20160513,1
23796,20160516,2
23796,20160517,2
23796,20160518,2
23796,20160519,2
23796,20160520,1
23796,20160523,2
23796,20160524,2
23796,20160525,2
23796,20160526,2
23796,20160527,1
23796,20160530,2
23796,20160531,2
23796,20160601,2
23796,20160602,2
23796,20160603,1
23796,20160606,2
23796,20160607,2
23796,20160608,2
23796,20160609,2
23796,20160610,1
23796,20160613,2
23796,20160614,2
23796,20160615,2
23796,20160616,2
23796,20160617,1
46158,20160328,1
46158,20160329,1
46158,20160331,1
46158,20160401,1
46158,20160404,2
46158,20160405,2
46158,20160407,2
46158,20160408,2
46158,20160411,1
46158,20160412,1
46158,20160414,1
46158,20160415,1
46158,20160418,1
46158,20160419,1
46158,20160421,1
46158,20160422,1
46158,20160425,1
46158,20160426,1
46158,20160428,1
46158,20160429,1
46158,20160502,1
46158,20160503,1
46158,20160505,1
46158,20160506,1
46158,20160509,1
46158,20160510,1
46158,20160512,1
46158,20160513,1
46158,20160516,1
46158,20160517,1
46158,20160519,1
46158,20160520,1
46158,20160523,1
46158,20160524,1
46158,20160526,1
46158,20160527,2
46158,20160530,2
46158,20160531,1
46158,20160602,1
46158,20160603,1
46158,20160606,1
46158,20160607,1
46158,20160609,1
46158,20160610,1
46158,20160613,1
46158,20160614,1
46158,20160616,1
46158,20160617,1
50530,20160328,1
50530,20160404,1
50530,20160411,1
50530,20160418,1
50530,20160425,1
50530,20160502,1
50530,20160509,1
50530,20160516,1
50530,20160523,1
50530,20160530,2
50530,20160606,1
50530,20160613,1
57233,20160328,1
57233,20160329,1
57233,20160330,1
57233,20160331,1
57233,20160401,1
57233,20160404,2
57233,20160405,2
57233,20160406,2
57233,20160407,2
57233,20160408,2
57233,20160411,1
57233,20160412,1
57233,20160413,1
57233,20160414,1
57233,20160415,1
57233,20160418,1
57233,20160419,1
57233,20160420,1
57233,20160421,1
57233,20160422,1
57233,20160425,1
57233,20160426,1
57233,20160427,1
57233,20160428,1
57233,20160429,1
57233,20160502,1
57233,20160503,1
57233,20160504,1
57233,20160505,1
57233,20160506,1
57233,20160509,1
57233,20160510,1
57233,20160511,1
57233,20160512,1
57233,20160513,1
57233,20160516,1
57233,20160517,1
57233,20160518,1
57233,20160519,1
57233,20160520,1
57233,20160523,1
57233,20160524,1
57233,20160525,1
57233,20160526,1
57233,20160527,2
57233,20160530,2
57233,20160531,1
57233,20160601,1
57233,20160602,1
57233,20160603,1
57233,20160606,1
57233,20160607,1
57233,20160608,1
57233,20160609,1
57233,20160610,1
57233,20160613,1
57233,20160614,1
57233,20160615,1
57233,20160616,1
57233,20160617,1
57439,20160328,1
57439,20160329,1
57439,20160330,1
57439,20160331,1
57439,20160401,1
57439,20160404,2
57439,20160405,2
57439,20160406,2
57439,20160407,2
57439,20160408,2
57439,20160411,1
57439,20160412,1
57439,20160413,1
57439,20160414,1
57439,20160415,1
57439,20160418,1
57439,20160419,1
57439,20160420,1
57439,20160421,1
57439,20160422,1
57439,20160425,1
57439,20160426,1
57439,20160427,1
57439,20160428,1
57439,20160429,1
57439,20160502,1
57439,20160503,1
57439,20160504,1
57439,20160505,1
57439,20160506,1
57439,20160509,1
57439,20160510,1
57439,20160511,1
57439,20160512,1
57439,20160513,1
57439,20160516,1
57439,20160517,1
57439,20160518,1
57439,20160519,1
57439,20160520,1
57439,20160523,1
57439,20160524,1
57439,20160525,1
57439,20160526,1
57439,20160527,1
57439,20160530,2
57439,20160531,1
57439,20160601,1
57439,20160602,1
57439,20160603,1
57439,20160606,1
57439,20160607,1
57439,20160608,1
57439,20160609,1
57439,20160610,1
57439,20160613,1
57439,20160614,1
57439,20160615,1
59533,20160328,1
59533,20160329,1
59533,20160330,1
59533,20160331,1
59533,20160401,1
59533,20160404,1
59533,20160405,1
59533,20160406,1
59533,20160407,1
59533,20160408,1
59533,20160411,2
59533,20160412,2
59533,20160413,2
59533,20160414,2
59533,20160415,2
59533,20160418,1
59533,20160419,1
59533,20160420,1
59533,20160421,1
59533,20160422,1
59533,20160425,1
59533,20160426,1
59533,20160427,1
59533,20160428,1
59533,20160429,1
59533,20160502,1
59533,20160503,1
59533,20160504,1
59533,20160505,1
59533,20160506,1
59533,20160509,1
59533,20160510,1
59533,20160511,1
59533,20160512,1
59533,20160513,1
59533,20160516,1
59533,20160517,1
59533,20160518,1
59533,20160519,1
59533,20160520,1
59533,20160523,1
59533,20160524,1
59533,20160525,1
59533,20160526,1
59533,20160527,1
59533,20160530,2
59533,20160531,1
59533,20160601,2
59533,20160602,1
59533,20160603,1
59533,20160606,1
59533,20160607,1
59533,20160608,1
59533,20160609,1
59533,20160610,1
59533,20160613,1
59533,20160614,1
59533,20160615,1
59533,20160616,1
59533,20160617,1
61453,20160328,1
61453,20160404,1
61453,20160411,1
61453,20160418,1
61453,20160425,1
61453,20160502,1
61453,20160509,1
61453,20160516,1
61453,20160523,1
61453,20160530,2
61453,20160606,1
64510,20160328,1
64510,20160404,1
64510,20160411,1
64510,20160418,1
64510,20160425,1
64510,20160502,1
64510,20160509,1
64510,20160516,1
64510,20160523,1
64510,20160530,2
64510,20160606,1
64510,20160613,1
71608,20160304,1
71608,20160307,1
71608,20160308,1
71608,20160309,1
71608,20160310,1
71608,20160311,1
71608,20160314,1
71608,20160315,1
71608,20160316,1
71608,20160317,1
71608,20160318,1
71608,20160321,2
71608,20160322,2
71608,20160323,2
71608,20160324,2
71608,20160325,2
71608,20160328,1
71608,20160329,1
71608,20160330,1
71608,20160331,1
71608,20160401,1
71608,20160404,1
71608,20160405,1
71608,20160406,1
71608,20160407,1
71608,20160408,1
71608,20160411,1
71608,20160412,1
71608,20160413,1
71608,20160414,1
71608,20160415,1
71608,20160418,1
71608,20160419,1
71608,20160420,1
71608,20160421,1
71608,20160422,1
71608,20160425,1
71608,20160426,1
71608,20160427,1
71608,20160428,1
71608,20160429,1
71608,20160502,1
71608,20160503,1
71608,20160504,1
71608,20160505,1
71608,20160506,1
71608,20160509,1
71608,20160510,1
71608,20160511,1
71608,20160512,1
71608,20160513,1
71608,20160516,1
71608,20160517,1
71608,20160518,1
71608,20160519,1
71608,20160520,1
71608,20160523,1
71608,20160524,1
71608,20160525,1
71608,20160526,1
71608,20160527,1
71608,20160530,2
71608,20160531,1
71608,20160601,1
71608,20160602,1
71608,20160603,1
71608,20160606,1
71608,20160607,1
71608,20160608,1
71608,20160609,1
71608,20160610,1
78625,20160307,1
78625,20160314,1
78625,20160321,1
78625,20160328,1
78625,20160404,1
78625,20160411,1
78625,20160418,1
78625,20160425,1
78625,20160502,1
78625,20160509,1
78625,20160516,1
78625,20160523,1
78625,20160530,2
78625,20160606,1
78625,20160613,1
