agency_id,route_id,route_short_name,route_long_name,route_type,route_desc,route_url
1,100001,1,,3,Kinnear - Downtown Seattle,http://metro.kingcounty.gov/schedules/001/n0.html
1,100002,10,,3,Capitol Hill - Downtown Seattle,http://metro.kingcounty.gov/schedules/010/n0.html
1,100003,101,,3,Renton TC to Downtown Seattle,http://metro.kingcounty.gov/schedules/101/n0.html
1,100004,105,,3,Renton Highlands to Renton,http://metro.kingcounty.gov/schedules/105/n0.html
1,100005,106,,3,Renton TC to Skyway to Downtown Seattle,http://metro.kingcounty.gov/schedules/106/n0.html
1,100006,107,,3,Renton TC to Rainier Beach,http://metro.kingcounty.gov/schedules/107/n0.html
1,100009,11,,3,Madison Park to Capitol Hill to Downtown Seattle,http://metro.kingcounty.gov/schedules/011/n0.html
1,100011,111,,3,Lake Kathleen to Downtown Seattle,http://metro.kingcounty.gov/schedules/111/n0.html
1,100012,113,,3,Shorewood to Downtown Seattle,http://metro.kingcounty.gov/schedules/113/n0.html
1,100013,114,,3,Renton Highlands to Downtown Seattle,http://metro.kingcounty.gov/schedules/114/n0.html
1,100014,116,,3,Fauntleroy Ferry to Downtown Seattle,http://metro.kingcounty.gov/schedules/116/n0.html
1,100016,118,,3,Tahlequah to Vashon to Downtown Seattle,http://metro.kingcounty.gov/schedules/118/n0.html
1,100017,119,,3,Dockton to Vashon to Downtown Seattle,http://metro.kingcounty.gov/schedules/119/n0.html
1,100018,12,,3,Interlaken Pk - First Hill - Downtown Sea,http://metro.kingcounty.gov/schedules/012/n0.html
1,100019,120,,3,Burien TC - Wetwood Village - Downtown Sea,http://metro.kingcounty.gov/schedules/120/n0.html
1,100020,121,,3,Highline College to Marine View to BurienTC to CBD,http://metro.kingcounty.gov/schedules/121/n0.html
1,100021,122,,3,Highline College to Burien TC to CBD,http://metro.kingcounty.gov/schedules/122/n0.html
1,100022,123,,3,Gregory Heights to Burien TC to Downtown Seattle,http://metro.kingcounty.gov/schedules/123/n0.html
1,100023,124,,3,Tukwila International Blvd Sta to Downtown Seattle,http://metro.kingcounty.gov/schedules/124/n0.html
