stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_timezone
10000,NE 55th St & 43rd Ave NE,47.668575,-122.283653,21,America/Los_Angeles
10005,40th Ave NE & NE 51st St,47.665886,-122.284897,21,America/Los_Angeles
10010,NE 55th St & 39th Ave NE,47.668579,-122.285667,21,America/Los_Angeles
10020,NE 55th St & 37th Ave NE,47.668579,-122.288300,21,America/Los_Angeles
10030,NE 55th St & 35th Ave NE,47.668579,-122.290512,21,America/Los_Angeles
10040,NE 55th St & 33rd Ave NE,47.668583,-122.293015,21,America/Los_Angeles
10050,NE 55th St & 30th Ave NE,47.668591,-122.295448,21,America/Los_Angeles
10060,NE 55th St & 27th Ave NE,47.668594,-122.298859,21,America/Los_Angeles
10070,NE 55th St & 25th Ave NE,47.668594,-122.300995,21,America/Los_Angeles
10083,Ravenna Ave NE & Ravenna Pl NE,47.668480,-122.303780,21,America/Los_Angeles
10100,NE Ravenna Blvd & Park Rd NE,47.669552,-122.305405,21,America/Los_Angeles
10110,20th Ave NE & NE 55th St,47.668274,-122.306580,21,America/Los_Angeles
10120,20th Ave NE & NE 52nd St,47.666283,-122.306602,21,America/Los_Angeles
10130,NE 50th St & 19th Ave NE,47.664928,-122.307114,21,America/Los_Angeles
10145,NE 50th St & 16th Ave NE,47.664959,-122.311172,21,America/Los_Angeles
10170,Fairview Ave E & E Nelson Pl,47.630604,-122.328629,1,America/Los_Angeles
10180,Fairview Ave N & Yale Ave N,47.628349,-122.331520,21,America/Los_Angeles
10190,Fairview Ave N & Aloha St,47.627209,-122.332947,1,America/Los_Angeles
1020,Howell St & Yale Ave,47.617626,-122.329407,21,America/Los_Angeles
10210,Fairview Ave N & Republican St,47.622677,-122.334435,1,America/Los_Angeles
10225,Fairview Ave N & Thomas St,47.620586,-122.334419,1,America/Los_Angeles
10240,Boren Ave & Virginia St,47.617500,-122.333817,21,America/Los_Angeles
10280,Fairview Ave & Denny Way,47.618420,-122.334198,21,America/Los_Angeles
1030,Olive Way & 4th Ave,47.612099,-122.338570,21,America/Los_Angeles
10305,Fairview Ave N & Harrison St,47.622276,-122.334244,1,America/Los_Angeles
10325,Fairview Ave N & Valley St,47.626545,-122.333542,21,America/Los_Angeles
10328,Valley St & Fairview Ave N,47.626034,-122.334106,1,America/Los_Angeles
10340,Fairview Ave N & Yale Ave N,47.628876,-122.330597,21,America/Los_Angeles
10350,Fairview Ave E & Yale Ave N,47.630470,-122.328545,21,America/Los_Angeles
10370,NE 50th St & University Way NE,47.664829,-122.312660,21,America/Los_Angeles
10380,NE 50th St & 16th Ave NE,47.664814,-122.310432,21,America/Los_Angeles
1040,Olive Way & 6th Ave,47.613026,-122.336334,21,America/Los_Angeles
10400,20th Ave NE & NE 50th St,47.665028,-122.306404,21,America/Los_Angeles
10410,20th Ave NE & NE 52nd St,47.666641,-122.306404,21,America/Los_Angeles
