route_id,trip_id,service_id,trip_short_name,trip_headsign,route_short_name,direction_id,block_id,shape_id,fare_id
100272,12437968,62763,LOCAL,SEACREST MARINA,,1,4194723,10773038,100
100272,12437969,62763,LOCAL,SEACREST MARINA,,1,4194722,10773038,100
100272,12437970,62763,LOCAL,SEACREST MARINA,,1,4194723,10773038,100
100272,12437971,62763,LOCAL,SEACREST MARINA,,1,4194722,10773038,100
100272,12437972,62763,LOCAL,SEACREST MARINA,,1,4194723,10773042,100
100272,12437973,62763,LOCAL,SEACREST MARINA,,1,4194722,10773042,100
100272,12437974,62763,LOCAL,SEACREST MARINA,,1,4194723,10773042,100
100272,12437975,62763,LOCAL,SEACREST MARINA,,1,4194722,10773042,100
100272,12437976,62763,LOCAL,SEACREST MARINA,,1,4194723,10773042,100
100272,12437977,62763,LOCAL,SEACREST MARINA,,1,4194722,10773042,100
100272,12437978,62763,LOCAL,SEACREST MARINA,,1,4194723,10773042,100
100272,12437989,62763,LOCAL,ALASKA JUNCTION,,0,4194723,21773043,100
100272,12437990,62763,LOCAL,ALASKA JUNCTION,,0,4194722,21773043,100
100272,12437991,62763,LOCAL,ALASKA JUNCTION,,0,4194723,21773043,100
100272,12437992,62763,LOCAL,ALASKA JUNCTION,,0,4194722,21773043,100
100272,12437993,62763,LOCAL,ALASKA JUNCTION,,0,4194723,21773043,100
100272,12437994,62763,LOCAL,ALASKA JUNCTION,,0,4194722,21773043,100
100272,12437995,62763,LOCAL,ALASKA JUNCTION,,0,4194723,21773032,100
100272,12437996,62763,LOCAL,ALASKA JUNCTION,,0,4194722,21773032,100
100272,12437997,62763,LOCAL,ALASKA JUNCTION,,0,4194723,21773032,100
100481,12438010,62763,LOCAL,ALKI,,0,4194723,11775001,100
100481,12438011,62763,LOCAL,ALKI,,0,4194722,11775001,100
100481,12438012,62763,LOCAL,ALKI,,0,4194723,11775001,100
100481,12438013,62763,LOCAL,ALKI,,0,4194722,11775001,100
100481,12438014,62763,LOCAL,ALKI,,0,4194723,11775001,100
100481,12438015,62763,LOCAL,ALKI,,0,4194722,11775001,100
100481,12438016,62763,LOCAL,ALKI,,0,4194723,11775001,100
100481,12438017,62763,LOCAL,ALKI,,0,4194722,11775001,100
100481,12438018,62763,LOCAL,ALKI,,0,4194723,11775001,100
100481,12438019,62763,LOCAL,ALKI,,0,4194722,11775001,100
100481,12438032,62763,LOCAL,SEACREST MARINA,,1,4194723,20775002,100
100481,12438033,62763,LOCAL,SEACREST MARINA,,1,4194722,20775002,100
100481,12438034,62763,LOCAL,SEACREST MARINA,,1,4194723,20775002,100
100481,12438035,62763,LOCAL,SEACREST MARINA,,1,4194722,20775002,100
100481,12438036,62763,LOCAL,SEACREST MARINA,,1,4194723,20775002,100
100481,12438037,62763,LOCAL,SEACREST MARINA,,1,4194722,20775002,100
100481,12438038,62763,LOCAL,SEACREST MARINA,,1,4194723,20775002,100
100481,12438039,62763,LOCAL,SEACREST MARINA,,1,4194722,20775002,100
100481,12438040,62763,LOCAL,SEACREST MARINA,,1,4194723,20775002,100
100481,12438041,62763,LOCAL,SEACREST MARINA,,1,4194722,20775002,100
100272,18163982,62763,LOCAL,SEACREST MARINA,,1,4194722,10773038,100
100272,18163983,62763,LOCAL,SEACREST MARINA,,1,4194723,10773038,100
100272,18163984,62763,LOCAL,SEACREST MARINA,,1,4194722,10773038,100
100272,18163985,62763,LOCAL,SEACREST MARINA,,1,4194723,10773038,100
100272,18163986,62763,LOCAL,SEACREST MARINA,,1,4194722,10773038,100
100272,18163987,62763,LOCAL,SEACREST MARINA,,1,4194723,10773038,100
100272,18163988,62763,LOCAL,SEACREST MARINA,,1,4194722,10773038,100
100272,18163989,62763,LOCAL,SEACREST MARINA,,1,4194704,10773038,100
100272,18163990,62763,LOCAL,SEACREST MARINA,,1,4194703,10773038,100
100272,18163991,62763,LOCAL,SEACREST MARINA,,1,4194704,10773038,100
100272,18163992,62763,LOCAL,SEACREST MARINA,,1,4194704,10773038,100
100272,18163993,62763,LOCAL,SEACREST MARINA,,1,4194703,10773038,100
100272,18163994,62763,LOCAL,ALASKA JUNCTION,,0,4194703,21773032,100
100272,18163995,62763,LOCAL,ALASKA JUNCTION,,0,4194704,21773032,100
100272,18163996,62763,LOCAL,ALASKA JUNCTION,,0,4194703,21773032,100
100272,18163997,62763,LOCAL,ALASKA JUNCTION,,0,4194704,21773032,100
100272,18163998,62763,LOCAL,ALASKA JUNCTION,,0,4194703,21773032,100
100272,18163999,62763,LOCAL,ALASKA JUNCTION,,0,4194723,21773032,100
100272,18164000,62763,LOCAL,ALASKA JUNCTION,,0,4194722,21773032,100
100272,18164001,62763,LOCAL,ALASKA JUNCTION,,0,4194723,21773032,100
