trip_id,stop_id,arrival_time,departure_time,stop_sequence,pickup_type,drop_off_type
14SEP-Saturday-101n-0,2876,06:44:00,06:44:00,0,,1
14SEP-Saturday-101n-0,2405,,,1,,
14SEP-Saturday-101n-0,1017,,,2,,
14SEP-Saturday-101n-0,1023,,,3,,
14SEP-Saturday-101n-0,1016,,,4,,
14SEP-Saturday-101n-0,1015,,,5,,
14SEP-Saturday-101n-0,1014,,,6,,
14SEP-Saturday-101n-0,1022,,,7,,
14SEP-Saturday-101n-0,2237,,,8,,
14SEP-Saturday-101n-0,1013,,,9,,
14SEP-Saturday-101n-0,1012,,,10,,
14SEP-Saturday-101n-0,1011,,,11,,
14SEP-Saturday-101n-0,1010,,,12,,
14SEP-Saturday-101n-0,1009,,,13,,
14SEP-Saturday-101n-0,1008,,,14,,
14SEP-Saturday-101n-0,1007,06:53:00,06:53:00,15,,
14SEP-Saturday-101n-0,997,,,16,,
14SEP-Saturday-101n-0,1006,,,17,,
14SEP-Saturday-101n-0,1018,,,18,,
14SEP-Saturday-101n-0,1005,,,19,,
14SEP-Saturday-101n-0,1004,,,20,,
14SEP-Saturday-101n-0,1003,,,21,,
14SEP-Saturday-101n-0,1002,,,22,,
14SEP-Saturday-101n-0,1001,,,23,,
14SEP-Saturday-101n-0,998,,,24,,
14SEP-Saturday-101n-0,1000,07:00:00,07:00:00,25,,
14SEP-Saturday-101n-0,1020,,,26,,
14SEP-Saturday-101n-0,1021,,,27,,
14SEP-Saturday-101n-0,1024,,,28,,
14SEP-Saturday-101n-0,1301,07:04:00,07:04:00,29,,
14SEP-Saturday-101n-0,1299,,,30,,
14SEP-Saturday-101n-0,168,,,31,,
14SEP-Saturday-101n-0,167,,,32,,
14SEP-Saturday-101n-0,2038,07:09:00,07:09:00,33,1,
14SEP-Saturday-101n-1,2876,07:44:00,07:44:00,0,,1
14SEP-Saturday-101n-1,2405,,,1,,
14SEP-Saturday-101n-1,1017,,,2,,
14SEP-Saturday-101n-1,1023,,,3,,
14SEP-Saturday-101n-1,1016,,,4,,
14SEP-Saturday-101n-1,1015,,,5,,
14SEP-Saturday-101n-1,1014,,,6,,
14SEP-Saturday-101n-1,1022,,,7,,
14SEP-Saturday-101n-1,2237,,,8,,
14SEP-Saturday-101n-1,1013,,,9,,
14SEP-Saturday-101n-1,1012,,,10,,
14SEP-Saturday-101n-1,1011,,,11,,
14SEP-Saturday-101n-1,1010,,,12,,
14SEP-Saturday-101n-1,1009,,,13,,
14SEP-Saturday-101n-1,1008,,,14,,
14SEP-Saturday-101n-1,1007,07:53:00,07:53:00,15,,
14SEP-Saturday-101n-1,997,,,16,,
14SEP-Saturday-101n-1,1006,,,17,,
14SEP-Saturday-101n-1,1018,,,18,,
14SEP-Saturday-101n-1,1005,,,19,,
14SEP-Saturday-101n-1,1004,,,20,,
14SEP-Saturday-101n-1,1003,,,21,,
14SEP-Saturday-101n-1,1002,,,22,,
14SEP-Saturday-101n-1,1001,,,23,,
14SEP-Saturday-101n-1,998,,,24,,
14SEP-Saturday-101n-1,1000,08:00:00,08:00:00,25,,
14SEP-Saturday-101n-1,1020,,,26,,
14SEP-Saturday-101n-1,1021,,,27,,
14SEP-Saturday-101n-1,1024,,,28,,
14SEP-Saturday-101n-1,1301,08:04:00,08:04:00,29,,
14SEP-Saturday-101n-1,1299,,,30,,
14SEP-Saturday-101n-1,168,,,31,,
14SEP-Saturday-101n-1,167,,,32,,
14SEP-Saturday-101n-1,2038,08:10:00,08:10:00,33,1,
14SEP-Saturday-101n-10,2876,16:44:00,16:44:00,0,,1
14SEP-Saturday-101n-10,2405,,,1,,
14SEP-Saturday-101n-10,1017,,,2,,
14SEP-Saturday-101n-10,1023,,,3,,
14SEP-Saturday-101n-10,1016,,,4,,
14SEP-Saturday-101n-10,1015,,,5,,
14SEP-Saturday-101n-10,1014,,,6,,
14SEP-Saturday-101n-10,1022,,,7,,
14SEP-Saturday-101n-10,2237,,,8,,
14SEP-Saturday-101n-10,1013,,,9,,
14SEP-Saturday-101n-10,1012,,,10,,
14SEP-Saturday-101n-10,1011,,,11,,
14SEP-Saturday-101n-10,1010,,,12,,
14SEP-Saturday-101n-10,1009,,,13,,
14SEP-Saturday-101n-10,1008,,,14,,
14SEP-Saturday-101n-10,1007,16:57:00,16:57:00,15,,
14SEP-Saturday-101n-10,997,,,16,,
14SEP-Saturday-101n-10,1006,,,17,,
14SEP-Saturday-101n-10,1018,,,18,,
14SEP-Saturday-101n-10,1005,,,19,,
14SEP-Saturday-101n-10,1004,,,20,,
14SEP-Saturday-101n-10,1003,,,21,,
14SEP-Saturday-101n-10,1002,,,22,,
14SEP-Saturday-101n-10,1001,,,23,,
14SEP-Saturday-101n-10,998,,,24,,
14SEP-Saturday-101n-10,1000,17:07:00,17:07:00,25,,
14SEP-Saturday-101n-10,1020,,,26,,
14SEP-Saturday-101n-10,1021,,,27,,
14SEP-Saturday-101n-10,1024,,,28,,
14SEP-Saturday-101n-10,1301,17:11:00,17:11:00,29,,
14SEP-Saturday-101n-10,1299,,,30,,
14SEP-Saturday-101n-10,168,,,31,,
14SEP-Saturday-101n-10,167,,,32,,
14SEP-Saturday-101n-10,2038,17:18:00,17:18:00,33,1,
14SEP-Saturday-101n-11,2876,17:44:00,17:44:00,0,,1
14SEP-Saturday-101n-11,2405,,,1,,
14SEP-Saturday-101n-11,1017,,,2,,
14SEP-Saturday-101n-11,1023,,,3,,
14SEP-Saturday-101n-11,1016,,,4,,
14SEP-Saturday-101n-11,1015,,,5,,
14SEP-Saturday-101n-11,1014,,,6,,
14SEP-Saturday-101n-11,1022,,,7,,
14SEP-Saturday-101n-11,2237,,,8,,
14SEP-Saturday-101n-11,1013,,,9,,
14SEP-Saturday-101n-11,1012,,,10,,
14SEP-Saturday-101n-11,1011,,,11,,
14SEP-Saturday-101n-11,1010,,,12,,
14SEP-Saturday-101n-11,1009,,,13,,
14SEP-Saturday-101n-11,1008,,,14,,
14SEP-Saturday-101n-11,1007,17:57:00,17:57:00,15,,
14SEP-Saturday-101n-11,997,,,16,,
14SEP-Saturday-101n-11,1006,,,17,,
14SEP-Saturday-101n-11,1018,,,18,,
14SEP-Saturday-101n-11,1005,,,19,,
14SEP-Saturday-101n-11,1004,,,20,,
14SEP-Saturday-101n-11,1003,,,21,,
14SEP-Saturday-101n-11,1002,,,22,,
14SEP-Saturday-101n-11,1001,,,23,,
14SEP-Saturday-101n-11,998,,,24,,
14SEP-Saturday-101n-11,1000,18:07:00,18:07:00,25,,
14SEP-Saturday-101n-11,1020,,,26,,
