stop_id,stop_name,stop_lat,stop_lon,zone_id
1,Marine Dr NE & 27th Ave NE,48.055831,-122.195338,2a
10,Ellison James Dr & Steve Williams Dr,48.069307,-122.276405,2a
1000,Hwy 99 & 148th St SW,47.864768,-122.281262,2b
1001,Hwy 99 & 156th St SW,47.858145,-122.287433,2b
1002,Hwy 99 & 44th Ave W,47.851515,-122.292599,2b
1003,Hwy 99 & 168th St SW,47.847233,-122.294283,2b
1004,Hwy 99 & 174th Pl SW,47.841287,-122.297577,2b
1005,Hwy 99 & 176th St SW,47.840086,-122.298615,2b
1006,Hwy 99 & 188th St SW,47.829242,-122.307983,2b
1007,Hwy 99 & 196th St SW,47.821808,-122.314416,2b
1008,Hwy 99 & 200th St SW,47.818159,-122.317556,2b
1009,Hwy 99 & 204th St SW,47.814403,-122.320815,2b
1010,Hwy 99 & 208th St SW,47.810781,-122.323569,2b
1011,Hwy 99 & 212th St SW,47.807338,-122.326046,2b
1012,Hwy 99 & 216th St SW,47.803709,-122.328668,2b
1013,Hwy 99 & 220th St SW,47.800138,-122.331243,2b
1014,Hwy 99 & 230th St SW,47.790828,-122.337944,2b
1015,Hwy 99 & 234th St SW,47.788417,-122.339685,2b
1016,Hwy 99 & 238th St SW,47.784054,-122.342821,2b
1017,Hwy 99 & 244th St SW,47.778441,-122.346152,2b
1018,Hwy 99 & 52nd Ave W,47.834851,-122.303137,2b
1020,Hwy 99 & Lincoln Wy,47.874119,-122.272545,2b
1021,Hwy 99 & N Manor Wy,47.880636,-122.266482,2b
1022,Hwy 99 & 76th Ave W,47.794917,-122.334995,2b
1023,Hwy 99 & 240th St SW,47.781248,-122.344993,2b
1024,Hwy 99 & Gibson Rd,47.882644,-122.264590,2b
1026,State Ave & 5th St,48.052960,-122.176802,2a
1027,State Ave & 7th St,48.054726,-122.176791,2a
1028,State Ave & 76th St NE,48.065175,-122.176711,2a
1029,State Ave & 80th St NE,48.068685,-122.176733,2a
1030,State Ave & 84th St NE,48.072309,-122.176336,2a
1031,State Ave & 88th St NE,48.075986,-122.175765,2a
1032,State Ave & 92nd St NE,48.079489,-122.174711,2a
1033,State Ave & Grove St,48.061554,-122.176694,2a
1034,State Ave & 1st St,48.049474,-122.176871,2a
1035,State Ave & 10th St,48.057871,-122.176766,2a
1037,S Stillaguamish Ave & Medical Center Dr,48.188756,-122.117590,2a
1039,Village Green Dr & 21st Dr SE,47.866172,-122.204305,2b
1040,Village Green Dr & Trillium Blvd SE,47.867238,-122.207768,2b
1044,Village Green Dr & 28th Dr SE,47.863764,-122.194727,2b
1045,Village Green Dr & 27th Dr SE,47.864975,-122.196189,2b
1049,N West Ave & E 5th St,48.197466,-122.128088,2a
1053,10th St & Orchard Ave,47.853091,-121.691949,2a
1054,100th Ave W & 232nd St SW,47.788362,-122.366891,2b
1056,100th Ave W & Edmonds Wy,47.790032,-122.366900,2b
1058,100th Ave W & 238th St SW,47.783372,-122.366695,2b
1070,179th Ave SE & Stanton St SE,47.860178,-121.990774,2a
1071,179th Ave SE & 154th St SE,47.857632,-121.990729,2a
1072,179th Ave SE & 157th Pl SE,47.854251,-121.990703,2a
1073,179th Ave SE & 147th St SE,47.864278,-121.990743,2a
1079,2nd Ave & Stewart St,47.610605,-122.340239,1
1084,20th Ave SE & 222nd St SE,47.796885,-122.204938,2b
1085,23rd Ave SE & 168th St SE,47.845403,-122.201963,2b
1087,23rd Ave SE & 171st Pl SE,47.842662,-122.201919,2b
1093,3rd Ave N & Edmonds St,47.813256,-122.378163,2b
1094,3rd Ave S & James St,47.810261,-122.380447,2b
1095,3rd Ave N & 4th Ave N,47.814870,-122.376806,2b
1096,3rd Ave N & Sater Ln,47.816672,-122.375325,2b
1097,35th Ave W & 151st Pl SW,47.862247,-122.280552,2b
1098,35th Ave W & 156th St SW,47.856764,-122.280427,2b
1099,35th Ave SE & 156th St SE,47.856666,-122.187077,2b
1100,35th Ave SE & 164th St SE,47.848810,-122.186814,2b
1101,36th Ave W & 165th Pl SW,47.849267,-122.281994,2b
1102,36th Ave W & 167th Pl SW,47.846372,-122.281974,2b
