route_id,trip_id,service_id,trip_headsign,direction_id,block_id,shape_id
1,6297898,16MAR-WKD,TCC,0,5000,16MAR-141
1,6297899,16MAR-WKD,SR-7/8thAve,1,5039,16MAR-15343
1,6297900,16MAR-WKD,TCC,0,5039,16MAR-141
1,6297901,16MAR-WKD,SR-7/8thAve,1,5039,16MAR-15343
1,6297902,16MAR-WKD,TCC,0,5039,16MAR-141
1,6297903,16MAR-WKD,SR-7/8thAve,1,5039,16MAR-15343
1,6297904,16MAR-WKD,TCC,0,5039,16MAR-141
1,6297905,16MAR-WKD,SR-7/8thAve,1,5039,16MAR-15343
497,6297906,16MAR-WKD,Auburn Station,0,5001,16MAR-497415
497,6297907,16MAR-WKD,Auburn Station,0,5008,16MAR-497415
497,6297908,16MAR-WKD,Auburn Station,0,5008,16MAR-497415
497,6297909,16MAR-WKD,Auburn Station,0,5001,16MAR-497415
497,6297910,16MAR-WKD,Auburn Station,0,5008,16MAR-497415
1,6297911,16MAR-WKD,SR-7/8thAve,1,5002,16MAR-15343
1,6297912,16MAR-WKD,TCC,0,5002,16MAR-141
1,6297913,16MAR-WKD,SR-7/8thAve,1,5002,16MAR-15343
1,6297914,16MAR-WKD,TCC,0,5002,16MAR-141
1,6297915,16MAR-WKD,SR-7/8thAve,1,5002,16MAR-15343
1,6297916,16MAR-WKD,TCC,0,5002,16MAR-141
1,6297917,16MAR-WKD,SR-7/8thAve,1,5015,16MAR-15343
1,6297918,16MAR-WKD,TCC,0,5002,16MAR-141
400,6297920,16MAR-WKD,10th Departure,0,5003,16MAR-400432
3,6297923,16MAR-WKD,Lakwd Mall,1,5003,16MAR-3596
3,6297924,16MAR-WKD,14th Pac Ave S,0,5003,16MAR-34101
57,6297927,16MAR-WKD,Tacoma Mall,1,5003,16MAR-575108
300,6297928,16MAR-WKD,McChord/Bridgept,1,5003,16MAR-3005376
300,6297929,16MAR-WKD,Tacoma Mall,0,5003,16MAR-3004373
57,6297930,16MAR-WKD,Commerce St Transit Area,0,5003,16MAR-574110
400,6297933,16MAR-WKD,S Hill Mall,1,5003,16MAR-400533
400,6297934,16MAR-WKD,10th Departure,0,5003,16MAR-400432
400,6297937,16MAR-WKD,S Hill Mall,1,5003,16MAR-400533
400,6297938,16MAR-WKD,10th Departure,0,5003,16MAR-400432
400,6297941,16MAR-WKD,S Hill Mall,1,5003,16MAR-400533
400,6297942,16MAR-WKD,10th Departure,0,5003,16MAR-400432
45,6297943,16MAR-WKD,Parkland,1,5003,16MAR-45597
45,6297944,16MAR-WKD,Commerce St Transit Area,0,5003,16MAR-45493
1,6297945,16MAR-WKD,TCC,0,5004,16MAR-141
1,6297946,16MAR-WKD,SR-7/8thAve,1,5068,16MAR-15343
1,6297947,16MAR-WKD,TCC,0,5068,16MAR-141
1,6297948,16MAR-WKD,SR-7/8thAve,1,5068,16MAR-15343
1,6297949,16MAR-WKD,TCC,0,5068,16MAR-141
1,6297950,16MAR-WKD,SR-7/8thAve,1,5068,16MAR-15343
1,6297951,16MAR-WKD,TCC,0,5068,16MAR-141
1,6297952,16MAR-WKD,SR-7/8thAve,1,5068,16MAR-15343
402,6297953,16MAR-WKD,171st/Merid,1,5005,16MAR-4025426
402,6297954,16MAR-WKD,Federal Way,0,5005,16MAR-4024423
402,6297956,16MAR-WKD,171st/Merid,1,5005,16MAR-4025426
402,6297957,16MAR-WKD,Federal Way,0,5005,16MAR-4024423
402,6297959,16MAR-WKD,171st/Merid,1,5005,16MAR-4025426
402,6297960,16MAR-WKD,Federal Way,0,5005,16MAR-4024423
500,6297961,16MAR-WKD,Commerce St Transit Area,1,5117,16MAR-5005153
501,6297962,16MAR-WKD,Federal Way,0,5129,16MAR-5014208
501,6297964,16MAR-WKD,Commerce St Transit Area,1,5129,16MAR-5015211
102,6297966,16MAR-WKD,Div/MLKWy,1,5006,16MAR-102579
102,6297967,16MAR-WKD,Div/MLKWy,1,5006,16MAR-102579
1,6297969,16MAR-WKD,SR-7/8thAve,1,5007,16MAR-15343
1,6297970,16MAR-WKD,TCC,0,5070,16MAR-141
