stop_id,stop_name,stop_lat,stop_lon,stop_code
1,MALL STATION BAY 2,47.907703,-122.213547,6394
10,100TH ST SW & EVERGREEN WAY - WB,47.907379,-122.243103,5215
100,COLBY AVE & 23RD ST - NB,47.987419,-122.208313,1240
101,COLBY AVE & 21ST ST - NB,47.990063,-122.208252,1210
102,COLBY and 19TH,47.992729,-122.208160,1200
103,COLBY AVE & 17TH ST - NB,47.995319,-122.208107,1160
104,COLBY and 15TH,47.997921,-122.208031,1155
105,COLBY AVE & 13TH ST - NB,48.000523,-122.207977,1140
106,COLBY AVE & 10TH ST - NB,48.004486,-122.207878,1093
107,WETMORE AVE & 8TH ST - NB,48.006977,-122.206467,1090
108,WETMORE AVE & 6TH ST - NB,48.010075,-122.206383,1085
109,ALVERSON BLVD & 4TH ST - NB,48.012398,-122.205826,1080
11,100TH and HOLLY,47.907379,-122.247772,5220
110,ALVERSON BLVD & 2ND ST - NB,48.015350,-122.204872,1075
111,W MARINE VIEW DR & BRIDGE WAY - EB,48.014301,-122.194252,1010
112,BROADWAY and 8TH,48.007664,-122.195229,1035
113,N BROADWAY at TOWER ST,48.006229,-122.197060,1328
114,EVERETT STATION - D4,47.974228,-122.197594,2441
115,CEDAR ST & HEWITT  - NB,47.978508,-122.193848,3006
116,EVERETT and CEDAR,47.981907,-122.194191,2275
117,EVERETT AVE & RAINIER AVE - WB,47.981930,-122.197594,2260
118,EVERETT AVE & LOMBARD AVE - WB,47.981979,-122.202644,1310
119,WETMORE AVE & EVERETT AVE - SB,47.981304,-122.207245,1290
12,100TH ST SW & 12TH AVE W - WB,47.907379,-122.250320,5225
120,WETMORE and HEWITT,47.979561,-122.207298,1370
121,WETMORE AVE & WALL ST - SB,47.977318,-122.207230,2355
122,COLBY and PACIFIC,47.976284,-122.208664,1425
123,COLBY and 32ND,47.974907,-122.208595,1490
124,COLBY and 34TH,47.972336,-122.208488,1500
125,COLBY AVE & 36TH ST - SB,47.969719,-122.208374,1510
126,COLBY and 39TH,47.965710,-122.208183,1530
127,COLBY AVE & 41ST ST - SB,47.962830,-122.208038,3000
128,COLBY AVE & 43RD ST SE - SB,47.960575,-122.207939,3265
129,COLBY AVE & 45TH ST SE - SB,47.958530,-122.208000,3275
13,100TH ST SW & 15TH AVE W - WB,47.907433,-122.254463,5230
130,COLBY and 47TH,47.955601,-122.207680,3300
131,COLBY AVE & 50TH ST SE - SB,47.951515,-122.207016,3310
132,COLBY and 52ND,47.949081,-122.206673,4070
133,COLBY and FAIRFAX,47.945900,-122.206749,4085
134,COLBY and 60TH,47.943062,-122.206886,4095
135,BEVERLY BLVD & 63RD ST SE - SB,47.939987,-122.207764,4105
136,BEVERLY BLVD & PALM AVE - SB,47.937820,-122.209534,4115
137,BEVERLY BLVD & MADISON - SB,47.935989,-122.211060,4130
138,BEVERLY and 72ND,47.933014,-122.212624,4155
139,BEVERLY and 75TH,47.929821,-122.212059,4230
14,100TH ST SW & 18TH  AVE W - WB,47.907475,-122.257668,5235
140,CASINO and HIGHLAND,47.927341,-122.212830,4239
141,E  CASINO RD & RAINIER DR - WB,47.925854,-122.215561,4250
142,CASINO and XAVIER,47.925076,-122.217201,4255
143,E CASINO RD & 8TH AVE SE - WB,47.923267,-122.221207,4270
144,100TH and 7TH,47.907360,-122.222672,6190
145,100TH and 100TH,47.907383,-122.218529,6195
146,MALL STATION - BAY 1,47.908085,-122.213638,6395
147,7TH AVE SE & SE EVERETT MALL WAY - NB,47.910160,-122.223236,6085
148,7TH and 93RD,47.913200,-122.223297,6065
149,7TH and 92ND,47.914955,-122.223328,6055
15,100TH and 23RD,47.907562,-122.266144,5240
150,7TH and 90TH,47.916805,-122.223366,6050
151,7TH AVE SE & 87TH ST SE - NB,47.919041,-122.222794,6040
152,7TH AVE SE & 84TH ST SE - NB,47.921528,-122.222855,6005
153,E CASINO RD & 8TH AVE SE - EB,47.923031,-122.221420,4280
154,E CASINO RD & XAVIER WY - EB,47.925068,-122.216927,4260
155,E CASINO RD & RAINIER DR - EB,47.926079,-122.214714,4245
156,E CASINO RD & HIGHLAND DR - NB,47.927647,-122.212585,4240
157,BEVERLY BLVD & 75TH ST SE - NB,47.929947,-122.211914,4235
158,BEVERLY and 72ND,47.932911,-122.212456,4143
159,BEVERLY BLVD & MADISON - NB,47.936768,-122.210182,4120
16,100TH and AIRPORT,47.907578,-122.269051,5245
160,BEVERLY BLVD & PALM AVE - NB,47.938122,-122.209099,4110
161,BEVERLY BLVD & WETMORE AVE - NB,47.940952,-122.206894,4100
162,COLBY AVE & 60TH ST SE - NB,47.943569,-122.206703,4090
163,COLBY AVE & 55TH ST SE - NB,47.947887,-122.206551,4075
164,COLBY AVE & 52ND ST SE - NB,47.949978,-122.206566,3330
165,COLBY AVE & ALTA DR - NB,47.951969,-122.206909,3305
166,COLBY AVE & 47TH ST SE - NB,47.956108,-122.207603,3295
167,COLBY AVE & 43RD ST SE - NB,47.961189,-122.207764,3260
168,COLBY AVE & 41ST ST - NB,47.964035,-122.207886,1543
169,COLBY AVE & 39TH ST - NB,47.966278,-122.207977,1515
17,AIRPORT RD & 94TH ST SW - NB,47.913815,-122.271484,5011
170,COLBY AVE & 36TH ST - NB,47.970165,-122.208138,1505
171,COLBY AVE & 34TH ST - NB,47.972862,-122.208275,1495
172,COLBY AVE & 32ND ST - NB,47.975498,-122.208374,1485
173,EVERETT and OAKES,47.981819,-122.203979,1305
174,EVERETT AVE & BROADWAY - EB,47.981815,-122.200935,2245
175,EVERETT AVE & BAKER AVE - EB,47.981750,-122.196037,2270
