route_id,trip_id,service_id,shape_id
1,1,1,1
1,10,1,2
5,100,1,8
5,101,1,8
5,102,1,8
5,103,1,8
5,104,1,7
5,105,1,8
5,106,1,7
5,107,1,8
5,108,1,8
5,109,1,7
1,11,3,1
5,110,1,7
5,111,1,8
5,112,1,8
5,113,1,7
5,114,1,8
5,115,1,7
5,116,1,7
5,117,1,8
5,118,1,7
5,119,1,7
1,12,1,2
5,120,1,8
5,121,1,8
5,122,1,9
5,123,1,7
5,124,1,7
5,125,1,7
5,126,1,9
5,127,1,7
6,128,1,10
6,129,3,11
1,13,3,1
6,130,2,12
6,131,1,10
6,132,3,12
6,133,3,13
6,134,2,13
6,135,1,13
6,136,2,10
6,137,1,13
6,138,2,12
6,139,2,11
1,14,1,1
6,140,3,10
6,141,2,11
6,142,2,13
6,143,1,12
6,144,1,13
6,145,1,12
6,146,3,11
6,147,1,13
6,148,2,11
6,149,3,12
1,15,2,1
6,150,3,13
6,151,2,10
6,152,3,13
6,153,1,13
6,154,3,12
6,155,2,12
6,156,2,12
6,157,3,10
6,158,2,13
6,159,1,12
1,16,3,1
6,160,1,13
6,161,1,12
6,162,1,10
6,163,2,13
6,164,2,11
6,165,3,13
6,166,3,10
6,167,1,10
6,168,3,11
6,169,3,11
1,17,1,2
6,170,2,13
6,171,1,13
6,172,1,11
6,173,2,11
6,174,3,10
6,175,3,11
6,176,2,13
6,177,2,10
6,178,1,10
6,179,1,11
1,18,2,1
6,180,1,10
6,181,2,11
6,182,2,11
6,183,3,12
6,184,1,12
6,185,3,11
6,186,1,11
6,187,2,13
6,188,2,10
6,189,1,10
1,19,2,1
6,190,1,10
6,191,1,11
6,192,1,10
6,193,2,12
6,194,2,11
6,195,1,12
6,196,3,13
6,197,1,12
6,198,2,10
6,199,1,13
1,2,2,1
1,20,3,1
6,200,1,10
6,201,1,11
6,202,1,12
6,203,2,13
6,204,3,13
6,205,1,12
6,206,1,13
6,207,1,11
6,208,1,12
6,209,1,12
1,21,1,2
6,210,1,11
6,211,1,11
7,212,3,14
7,213,1,15
7,214,2,15
7,215,3,15
7,216,1,15
7,217,3,14
7,218,2,14
7,219,2,15
1,22,2,1
7,220,3,14
7,221,3,15
7,222,2,15
7,223,2,15
7,224,2,14
7,225,3,15
7,226,1,15
7,227,2,14
7,228,2,15
7,229,3,15
1,23,1,2
7,230,2,15
7,231,3,14
7,232,1,15
7,233,1,15
7,234,2,14
7,235,1,16
7,236,1,16
7,237,3,14
7,238,3,15
7,239,2,15
1,24,3,1
7,240,2,15
7,241,2,14
7,242,1,15
7,243,2,14
7,244,1,14
7,245,2,14
7,246,1,15
7,247,2,15
7,248,3,15
7,249,2,15
1,25,2,1
7,250,1,15
7,251,1,15
7,252,1,14
7,253,3,16
7,254,3,15
7,255,1,14
7,256,2,16
7,257,2,14
7,258,1,16
7,259,2,15
1,26,1,2
7,260,3,15
7,261,2,15
7,262,3,14
7,263,1,15
7,264,3,15
7,265,1,14
7,266,2,14
7,267,3,14
7,268,1,17
7,269,2,15
1,27,2,1
7,270,3,14
7,271,1,15
7,272,1,14
7,273,2,14
7,274,1,15
7,275,2,14
7,276,1,14
7,277,2,15
7,278,3,14
7,279,1,14
1,28,2,1
7,280,3,15
7,281,2,14
7,282,1,15
7,283,1,15
7,284,2,14
7,285,3,15
7,286,1,14
7,287,3,15
7,288,3,14
7,289,1,16
1,29,3,1
7,290,1,14
7,291,1,16
7,292,1,17
7,293,1,17
7,294,1,17
7,295,1,18
7,296,1,19
7,297,1,14
7,298,3,14
7,299,1,18
1,3,1,1
1,30,2,1
7,300,1,17
7,301,1,18
7,302,1,18
7,303,1,16
7,304,1,16
7,305,1,17
8,306,3,20
8,307,3,20
8,308,2,20
8,309,1,20
1,31,3,1
8,310,1,20
8,311,3,20
8,312,3,20
8,313,3,20
8,314,2,20
8,315,2,20
8,316,1,20
8,317,1,20
8,318,2,20
8,319,3,20
2,32,1,3
8,320,3,20
8,321,2,20
8,322,2,20
8,323,2,20
8,324,1,20
8,325,1,20
8,326,2,20
8,327,2,20
8,328,2,20
8,329,1,20
2,33,1,3
8,330,1,20
8,331,2,20
8,332,3,20
8,333,1,20
8,334,3,20
8,335,1,20
8,336,1,20
8,337,1,20
8,338,2,20
8,339,1,20
2,34,1,3
8,340,3,20
8,341,1,20
9,342,1,21
9,343,1,22
9,344,1,22
